Białystok,Bydgoszcz,398
Białystok,Wrocław,555
Białystok,Łódź,322
Białystok,Gorzów Wielkopolski,655
Białystok,Gdańsk,393
Białystok,Kraków,490
Białystok,Lublin,252
Białystok,Olsztyn,227
Białystok,Opole,509
Białystok,Poznań,501
Białystok,Rzeszów,417
Bydgoszcz,Białystok,498
Bydgoszcz,Bydgoszcz,1
Bydgoszcz,Wrocław,279
Bydgoszcz,Łódź,226
Bydgoszcz,Gorzów Wielkopolski,211
Bydgoszcz,Gdańsk,171
Bydgoszcz,Kraków,486
Bydgoszcz,Lublin,476
Bydgoszcz,Olsztyn,210
Bydgoszcz,Opole,327
Bydgoszcz,Poznań,142
Bydgoszcz,Rzeszów,556
Wrocław,Białystok,545
Wrocław,Bydgoszcz,279
Wrocław,Wrocław,1
Wrocław,Łódź,213
Wrocław,Gorzów Wielkopolski,267
Wrocław,Gdańsk,458
Wrocław,Kraków,269
Wrocław,Lublin,439
Wrocław,Olsztyn,515
Wrocław,Opole,93,9
Wrocław,Poznań,169
Wrocław,Rzeszów,439
Łódź,Białystok,317
Łódź,Bydgoszcz,226
Łódź,Wrocław,221
Łódź,Łódź,1
Łódź,Gorzów Wielkopolski,356
Łódź,Gdańsk,343
Łódź,Kraków,265
Łódź,Lublin,294
Łódź,Olsztyn,287
Łódź,Opole,185
Łódź,Poznań,202
Łódź,Rzeszów,318
Gorzów Wielkopolski,Białystok,661
Gorzów Wielkopolski,Bydgoszcz,210
Gorzów Wielkopolski,Wrocław,266
Gorzów Wielkopolski,Łódź,369
Gorzów Wielkopolski,Gorzów Wielkopolski,1
Gorzów Wielkopolski,Gdańsk,330
Gorzów Wielkopolski,Kraków,541
Gorzów Wielkopolski,Lublin,638
Gorzów Wielkopolski,Olsztyn,449
Gorzów Wielkopolski,Opole,366
Gorzów Wielkopolski,Poznań,168
Gorzów Wielkopolski,Rzeszów,711
Gdańsk,Białystok,393
Gdańsk,Bydgoszcz,166
Gdańsk,Wrocław,463
Gdańsk,Łódź,340
Gdańsk,Gorzów Wielkopolski,331
Gdańsk,Gdańsk,1
Gdańsk,Kraków,600
Gdańsk,Lublin,589
Gdańsk,Olsztyn,167
Gdańsk,Opole,484
Gdańsk,Poznań,308
Gdańsk,Rzeszów,670
Kraków,Białystok,493
Kraków,Bydgoszcz,485
Kraków,Wrocław,270
Kraków,Łódź,260
Kraków,Gorzów Wielkopolski,540
Kraków,Gdańsk,601
Kraków,Kraków,1
Kraków,Lublin,271
Kraków,Olsztyn,508
Kraków,Opole,191
Kraków,Poznań,444
Kraków,Rzeszów,171
Lublin,Białystok,252
Lublin,Bydgoszcz,477
Lublin,Wrocław,447
Lublin,Łódź,297
Lublin,Gorzów Wielkopolski,630
Lublin,Gdańsk,594
Lublin,Kraków,271
Lublin,Lublin,1
Lublin,Olsztyn,384
Lublin,Opole,413
Lublin,Poznań,476
Lublin,Rzeszów,167
Olsztyn,Białystok,228
Olsztyn,Bydgoszcz,209
Olsztyn,Wrocław,519
Olsztyn,Łódź,286
Olsztyn,Gorzów Wielkopolski,417
Olsztyn,Gdańsk,167
Olsztyn,Kraków,549
Olsztyn,Lublin,382
Olsztyn,Olsztyn,1
Olsztyn,Opole,505
Olsztyn,Poznań,340
Olsztyn,Rzeszów,511
Opole,Białystok,517
Opole,Bydgoszcz,318
Opole,Wrocław,97,2
Opole,Łódź,184
Opole,Gorzów Wielkopolski,367
Opole,Gdańsk,485
Opole,Kraków,191
Opole,Lublin,413
Opole,Olsztyn,510
Opole,Opole,1
Opole,Poznań,271
Opole,Rzeszów,361
Poznań,Białystok,502
Poznań,Bydgoszcz,142
Poznań,Wrocław,168
Poznań,Łódź,210
Poznań,Gorzów Wielkopolski,162
Poznań,Gdańsk,313
Poznań,Kraków,446
Poznań,Lublin,479
Poznań,Olsztyn,339
Poznań,Opole,271
Poznań,Poznań,1
Poznań,Rzeszów,560
